119	scanning electron microscopy
682	condensed matter electrical magnetic optical
1000000	raman scattering spectrum
724	condensed matter structural mechanical thermal
730	raman spectroscopy
1000001	resonance raman scattering spectrum
739	carbon nanotube
928	nanoelectronics
1181	cytotoxicity
1185	cytotoxic activity
1254	schistosomiasis
1264	reactive oxygen specie
1288	trypanosoma cruzi
1293	rhodnius prolixus
1302	oxidative stress
1385	proteomic analysis
1397	phylogenetic analysis
1670	biodiesel
1686	water quality
1745	sea surface temperature
1855	schistosoma mansoni
2124	chaga disease
2355	soil organic matter
2438	chemical vapor deposition
2546	finite element method
2813	service-oriented architecture
3515	methylmercury
3758	silicon nitride
3861	ubiquitous computing
3929	antioxidant activity
4487	apoptosis
1000002	immunohistochemistry immunopathology
4887	polyaniline
5165	geochronology
5382	leishmaniasis
5398	visceral leishmaniasis
5750	galaxy evolution
5919	schistosoma mansoni infection
6113	dengue virus
6138	yellow fever
6432	crystal structure
6648	obsessive compulsive disorder
6700	statistical physic nonlinear system
1000003	quantum information quantum mechanic entanglement
6928	oxidative damage
7160	hydrogen peroxide
7164	dna repair
7184	lipid metabolism
7712	circumstellar matter
1000004	biological nitrogen fixation herbaspirillum seropedicae
8194	neuroprotection
8195	polymerase chain reaction
8268	leguminosae
10194	toxoplasma gondii
10440	star fundamental parameter
10551	neurotoxin
10813	star evolution
12005	antimicrobial activity
12059	plasma optical emission
12248	dielectric property
12931	xylella fastidiosa
13088	phylogeography
13471	petri net
14049	biosensor
14148	citrus sinensis
14417	electrochemical detection
14978	polymeric precursor method
15774	density functional theory
16244	galaxy kinematics dynamic
17182	photoluminescence
17200	luminescence
18019	astrocyte
18137	structural testing criterion
21303	bradykinin
23111	computational complexity
23807	optical emission spectrometry
23822	inductively coupled plasma
25982	antifungal activity
26784	parallel computing
27959	crystal growth
28642	microfabrication
31428	search engine
34427	quantum computation
1000005	quantum discord correlation
37399	quantum information
40742	neurotoxicity
41623	planetary nebula general
47873	somatic embryogenesis
48193	star formation
51310	parallel programming
98331	rheumatic heart disease
